"number","date","title","summary","content","art19_uuid","published_at","byte_size","duration"
11,"2019-10-14","EP11 道民が語る東京の台風","mktakuya、ふっくん、とっしーの3人で、ゲーム、台風19号、APIドキュメントと実装の乖離、Death Strandingなどについて話しました","- [Hollow Knight - Wikipedia](https://ja.wikipedia.org/wiki/Hollow_Knight)
- [Playdead's INSIDE - App Store](https://apps.apple.com/jp/app/playdeads-inside/id1201642309)
- [Life is Strange: Before the Storm \| SQUARE ENIX](https://www.jp.square-enix.com/lisbts/)
- [大雨にそなえる 善福寺川調節池 - YouTube](https://www.youtube.com/watch?v=hwbGCuPm23A)
- [杉並区 気象情報](http://www.micosfit.jp/suginami-ku/)
- [apivore](https://github.com/westfieldlabs/apivore)
- [Misoca API について · Misoca(ミソカ) API](https://doc.misoca.jp/)
- [Grape+SwaggerでAPIのドキュメント作成を自動化した - Misoca開発者ブログ](https://tech.misoca.jp/entry/2016/12/22/110000)
- [dredd](https://github.com/apiaryio/dredd)
- [Death Stranding - KOJIMA PRODUCTIONS](http://www.kojimaproductions.jp/death_stranding.html)
- [メタルギアソリッド タッチ - Wikipedia](https://ja.wikipedia.org/wiki/%E3%83%A1%E3%82%BF%E3%83%AB%E3%82%AE%E3%82%A2%E3%82%BD%E3%83%AA%E3%83%83%E3%83%89_%E3%82%BF%E3%83%83%E3%83%81)
- [Call Recorder for Skype - The Skype Audio/Video HD Call Recording Solution for Mac - Ecamm Network](https://www.ecamm.com/mac/callrecorder/)
- [The Levelator® from The Conversations Network](http://www.conversationsnetwork.org/levelator)
- [Auphonic Productions](https://auphonic.com/engine/)

","2eaff60a-667d-4af7-8ad8-b33d426326dc","2019-10-13 23:00:00",18437432,"2304.653061"
12,"2019-10-28","EP12 あとで読むをあとで読まない問題","mktakuya、ふっくん、とっしーの3人で、高専祭、陰キャと陽キャの壁、あとで読むをあとで読まない問題、回によって手応えが違う問題などについて話しました","- [リングフィット アドベンチャー \| Nintendo Switch \| 任天堂](https://www.nintendo.co.jp/ring/)
- [リングフィット アドベンチャー -Switch \| Amazon.co.jp](https://amzn.to/2pfHoD2)
- [ゆるふわノート \| ゆるふわクラブ \| note](https://note.mu/yuru28/m/m8fca91e899b7)
- [とっしーさんはTwitterを使っています: 「https://t.co/NPJgoCFYhM への過去1週間分アクセスをGoogle Analyticsから持ってきてdiscordに投げるようにした！！ #yuru28 https://t.co/HseAA1m45d」 / Twitter](https://twitter.com/toshiemon18/status/1185935928776220673)
- [苫小牧高専２０１９年度 第５５回高専祭の開催について - 苫小牧工業高等専門学校](https://www.tomakomai-ct.ac.jp/info/13486.html)
- [Todoist: 仕事と生活を管理できる ToDo リスト](https://todoist.com/ja)
- [Pocket](https://getpocket.com/)
- [Rubyによるクローラー開発技法　巡回・解析機能の実装と21の運用例 - Amazon.co.jp](https://amzn.to/34eLNVA)
- [萩生田大臣「身の丈発言」英語の民間試験に抗議や不安の声 \| NHKニュース](https://www3.nhk.or.jp/news/html/20191029/k10012155821000.html)

","7e51ccf3-3719-4302-906c-7dd3a89d9a31","2019-10-27 23:00:00",17075303,"2134.386939"
13,"2019-11-17","EP13 デス・フィット アドベンチャー","mktakuya、ふっくん、とっしーの3人で、デス・ストランディング、リングフィット アドベンチャー、次回は企画モノやります、Twitterアカウント凍結騒動などについて話しました。","- [けーすけ@やんまーさんはTwitterを使っています: 「Pocketに「後で読む」を積ん読する問題、 私も永遠に解決しない。。。 #yuru28 #EP12」 / Twitter](https://twitter.com/basd4g/status/1190246709038739457)
- [DEATH STRANDING Game \| PS4 - PlayStation](https://www.playstation.com/ja-jp/games/death-stranding-ps4/)
- [覇王別姫樹里🌵@本日配信無し！さんはTwitterを使っています: 「デススト、これもしかして「他のユーザーが踏みしめた場所」の草が剥げて、道になってる…？ #ps4shere #DeathStrading https://t.co/rPqUDoZbw4」 / Twitter](https://twitter.com/SabotenVtuber/status/1193433437564096512)
- [リングフィット アドベンチャー \| Nintendo Switch \| 任天堂](https://www.nintendo.co.jp/ring/)
- [ふっくんさんはTwitterを使っています: 「つづいててえらい https://t.co/yBMOhqZPTR」 / Twitter](https://twitter.com/fk2763owl/status/1195305940192354304)
- [とっしーさんはTwitterを使っています: 「クソワロタwwwwww https://t.co/ggf7XOvd3e」 / Twitter](https://twitter.com/toshiemon18/status/1194910228984188928)
- [Librahack ： 容疑者から見た岡崎図書館事件](http://librahack.jp/)

","a167125e-2443-4005-bab9-ae0d936075c8","2019-11-16 23:00:00",16894954,"2111.843265"
14,"2019-12-08","EP14 高専卒Web系エンジニアがキャリアについて語る回","mktakuya、ふっくん、とっしーの3人で、近況、高専入学の理由、将来どういうエンジニアになりたいか、このままエンジニアやってていいのか、いつか北海道帰りたいと思うかについて話しました。","- 質問
  - 「今どんな感じなの」
  - 「なんで高専入ったの」
  - 「将来的にどういうエンジニアになりたい？みたいな像はある？」
  - 「このままWeb系エンジニア・てかそもそもエンジニアやってていいんだろうか」
  - 「いつか北海道帰りたいと思う？」
- [社会人大学院で得たもの、失ったもの - 怠惰を求めて勤勉に行き着く](http://fushiroyama.hatenablog.com/entry/2019/12/07/061646)

","22c5c75e-d0bd-4a5c-a25e-68663c56613c","2019-12-07 23:00:00",36525452,"4565.65551"
15,"2019-12-20","EP15 年末の配信だけど2人でまったり回","mktakuya、ふっくんで、2019年買ってよかったもの・買わなくてもよかったもの、開発のアイデアなどについて話しました。","- [mktakuya Advent Calendar 2019 - Adventar](https://adventar.org/calendars/4562)
- [EP13 デス・フィット アドベンチャー](https://yuru28.com/13)
- [JAPAN PODCAST AWARDS](https://ssl.1242.com/aplform/form/aplform.php?fcode=jpa)
- [Anker Soundcore Liberty Neo（完全ワイヤレスイヤホン Bluetooth 5.0） - Amazon.co.jp](https://amzn.to/2MmW4Iv)
- [ソニー ワイヤレスノイズキャンセリングイヤホン WI-C600N - Amazon.co.jp](https://amzn.to/2sgMfFl)
- [オークス レイエ 調理スペースが広がるトレー&水切り LS1538 - Amazon.co.jp](https://amzn.to/39iUYaS)
- [ステンレス 作業台 業務用 調理台 500×600×800 板厚1.2mmモデル - Amazon.co.jp](https://amzn.to/36XBxSW)
- [肩の負担を軽くする 撥水 リュックサック黒 通販 \| 無印良品](https://www.muji.net/store/cmdty/detail/4550182293715)
- [サーモス 水筒 真空断熱スポーツボトル 1.0L - Amazon.co.jp](https://amzn.to/34KQuWU)
- [COMP 完全食](http://www.comp.jp/)
- [ソニー SONY ワイヤレスノイズキャンセリングヘッドホン WH-CH700N - Amazon.co.jp](https://amzn.to/2Ml9Ifk)
- [Bose QuietComfort 35](https://amzn.to/2sVRH0m)
- [Things I Bought In 2019 - #えむけーろぐ](https://blog.m6a.jp/entry/2019/12/15/001251)
- [「ミスドなう！ 店内BGM情報をかんたん表示！」をApp Storeで](https://apps.apple.com/jp/app/id1445419839)
- [苫小牧高専News（@TmNCT\_News） - Twitter](https://twitter.com/TmNCT_News)

","f9e8a5b0-d6d2-404b-a803-84e8159966ae","2019-12-19 23:00:00",18998751,"2374.817959"
16,"2020-01-12","EP16 正月休み明け回 どこに文章を書くか、強いエンジニアという灯","mktakuya、ふっくん、とっしーの3人で、正月休み、2020年どこに文章を書くか、働きすぎないためにはどうするか、強いエンジニアという灯などについて話しました。","- [北一硝子](https://kitaichiglass.co.jp/)
- [「空気清浄機を買いました。」 - Twitter](https://twitter.com/mktakuya/status/1216284209678913536)
- [Netflix「攻殻 SAC\_2045」20年春配信、素子は田中敦子。今後配信のアニメ多数発表 - AV Watch](https://av.watch.impress.co.jp/docs/news/1214061.html)
- [「さくらのレンタルサーバ」批判記事、Qiitaで公開止められ炎上　さくらは「事実確認中」 - ITmedia NEWS](https://www.itmedia.co.jp/news/articles/1912/26/news121.html)
- [miyagawaさんのブログ移転](http://rebuild.fm/170/#t=00:09:10)
- [mktakuya Advent Calendar 2019 - Adventar](https://adventar.org/calendars/4562)
- [mktakuya@Qiita](https://qiita.com/mktakuya/)
- マジでどうでもいいブログの例
  - [月曜から夜ふかしがHuluに来ていた件 - #えむけーろぐ](https://blog.m6a.jp/entry/2019/12/06/231158)
  - [嵐のドキュメンタリーがNetflixで配信される件 - #えむけーろぐ](https://blog.m6a.jp/entry/2019/12/17/223105)
- [やっていき宣言 \| yatteiki.fm](https://yatteiki.fm/manifesto)
- [強いエンジニアという灯 - Speaker Deck](https://speakerdeck.com/nay3/qiang-ienziniatoiudeng)
- [株式会社万葉](https://everyleaf.com/)
- [どんな仕事も「25分+5分」で結果が出る ポモドーロ・テクニック入門 - Amazon](https://amzn.to/373U5RU)

<iframe style=""width:120px;height:240px;"" marginwidth=""0"" marginheight=""0"" scrolling=""no"" frameborder=""0"" src=""https://rcm-fe.amazon-adsystem.com/e/cm?ref=tf_til&t=yuru28-22&m=amazon&o=9&p=8&l=as1&IS1=1&detail=1&asins=4484191040&linkId=8ce920e89dc1bc21c78c73080b3b93f2&bc1=ffffff&lt1=_top&fc1=333333&lc1=0066c0&bg1=ffffff&f=ifr"">
</iframe>

","6e0e38aa-edd4-488e-9e42-cfe003993f21","2020-01-11 23:00:00",22911267,"2863.882449"
17,"2020-01-17","EP17 VTuberについて語りすぎた回","ふっくん、とっしーの2人で、マイナンバーカード、風呂でのタスク多すぎわろた、2020年冬アニメ、バーチャルYouTuberなどについて話しました。","- [風呂でのタスク多すぎわろた - はてな匿名ダイアリー](https://anond.hatelabo.jp/20200116091849)
- [スタンフォード式 最高の睡眠 - Amazon.co.jp](https://amzn.to/2NUTzy7)
- [シリコンバレー式 自分を変える最強の食事 - Amazon.co.jp](https://amzn.to/3aIv0hF)
- [2020年冬開始の新作アニメ一覧 - GIGAZINE](https://gigazine.net/news/20191214-anime-2020winter/)
- [TVアニメ『映像研には手を出すな！』公式サイト](http://eizouken-anime.com/)
- [海外ドラマ『CSI:』｜角川海外TVシリーズ](http://kadokawa-d.jp/lineup/csi/)
- [伊藤計劃 ハーモニー - Amazon.co.jp](https://amzn.to/2GsLlsE)
- [伊藤計劃 虐殺器官 - Amazon.co.jp](https://amzn.to/3aIvpkb)
- [伊藤計劃 屍者の帝国 - Amazon.co.jp](https://amzn.to/2ROspdu)
- [EP14 高専卒Web系エンジニアがキャリアについて語る回 - ゆるふわPodcast](https://yuru28.com/14)
- [TVアニメ【紅殻のパンドラ】オフィシャルサイト](http://k-pandora.com/)
- [アップルシード - Amazon.co.jp](https://amzn.to/38DuCz4)
- [仙術超攻殻オリオン - Amazon.co.jp](https://amzn.to/38HbtMQ)
- [ブラックラグーン-BLACK LAGOON- オフィシャルページ](https://www.blacklagoon.jp/)
- [TVアニメ「ヨルムンガンド」公式サイト](https://www.jormungand.tv/)
- [桐生ココ](https://www.youtube.com/channel/UCS9uQI-jC3DE0L4IpXyvr6w)
- [天音かなた](https://www.youtube.com/channel/UCZlDXzGoo7d44bwdNObFacg)
- [舞元啓介](https://www.youtube.com/channel/UCJubINhCcFXlsBwnHp0wl_g)
- [ジョー・力一](https://www.youtube.com/channel/UChUJbHiTVeGrSkTdBzVfNCQ)
- [加賀美ハヤト](https://www.youtube.com/channel/UCmovZ2th3Sqpd00F5RdeigQ)
- [三枝明那](https://www.youtube.com/channel/UCNW1Ex0r6HsWRD4LCtPwvoQ)
- [黛灰](https://www.youtube.com/channel/UCb5JxV6vKlYVknoJB8TnyYg)
- [夜見れな](https://www.youtube.com/channel/UCL34fAoFim9oHLbVzMKFavQ)
- [佃煮のりお（犬山たまき）](https://www.youtube.com/channel/UC8NZiqKx6fsDT3AVcMiVFyA)
- [月ノ美兎](https://www.youtube.com/channel/UCD-miitqNY3nyukJ4Fnf4_A)
- [鈴原るる](https://www.youtube.com/channel/UC_a1ZYZ8ZTXpjg9xUY9sj8w)
- [MonsterZ Mate](https://www.youtube.com/channel/UCDG8K9g6qo8gX4jCjsqUVzA)
- [KMNZ](https://www.kmnz.jp/)
- [千莉](https://www.youtube.com/channel/UCrfI1f0FF-VpIBzposSB5Pg)

","232be893-e00a-43ee-8ef8-ed65181eb206","2020-01-16 23:00:00",34068896,"4258.586122"
18,"2020-01-25","EP18 実感を伴う言葉の理解について語る回","mktakuya、ふっくん、とっしーの3人で、実感を伴った言葉の理解、USJ、などについて話しました。","- [EP17 VTuberについて語りすぎた回](https://yuru28.com/17)
- [「納得」は全てに優先するぜッ!!とは - ニコニコ大百科](https://dic.nicovideo.jp/a/%E3%80%8C%E7%B4%8D%E5%BE%97%E3%80%8D%E3%81%AF%E5%85%A8%E3%81%A6%E3%81%AB%E5%84%AA%E5%85%88%E3%81%99%E3%82%8B%E3%81%9C%E3%83%83%21%21)
- [エクセレントな仕事人になれ！「抜群力」を発揮する自分づくりのためのヒント163 - Amazon.co.jp](https://amzn.to/377SFVF)
- [EP16 正月休み明け回 どこに文章を書くか、強いエンジニアという灯](https://yuru28.com/16)
- [情熱プログラマー ソフトウェア開発者の幸せな生き方 - Amazon.co.jp](https://amzn.to/39iYNfa)
- [メルカリからのお知らせ 【結果発表】HAJIKINチャレンジが10万人達成！ユニバーサル・スタジオ・ジャパン貸切イベント実施決定！](https://jp-news.mercari.com/2019/11/06/hajikinusj/)
- [ザ・フライング・ダイナソー｜アトラクション｜ユニバーサル・スタジオ・ジャパン｜USJ](https://www.usj.co.jp/attraction/jurassic-park-the-flying-dinosaur.html)
- [ハリウッド・ドリーム・ザ・ライド｜アトラクション｜ユニバーサル・スタジオ・ジャパン｜USJ](https://www.usj.co.jp/attraction/hollywood-dream-the-ride.html)
- [ウィザーディング・ワールド・オブ・ハリー・ポッター™｜エリア紹介｜ユニバーサル・スタジオ・ジャパン｜USJ](https://www.usj.co.jp/area/the-wizarding-world-of-harry-potter/)
- [EP01 ゆるふわPodcastやります](https://yuru28.com/1)

","642a36e9-1126-42c0-b9b5-efc863c57f53","2020-01-24 23:00:00",21810259,"1817.49551"
19,"2020-02-07","EP19 性格をハックする話","mktakuya、ふっくん、とっしーの3人で、新型コロナウイルス、Twitter 非公開リストバグ、性格ハック、1on1、ジンギスカンなどについて話しました。","- [さっぽろ雪まつり 公式WEB](https://www.snowfes.com/)
- [GMOインターネットグループ、新型コロナウィルスの感染拡大に備え在宅勤務体制へ移行 \| GMOインターネット株式会社](https://www.gmo.jp/news/article/6641/)
- [新型コロナウイルス感染症への対処について - 苫小牧工業高等専門学校](https://www.tomakomai-ct.ac.jp/info/14075.html)
- [Twitter、他人の非公開リスト名が見られる不具合か【追記あり】 - ITmedia NEWS](https://www.itmedia.co.jp/news/articles/2002/06/news138.html)
- [【ガチ悲報】Twitterで他人の『非公開リスト』が見えてしまうバグ発生・6日の夕方から午後8時ごろ→現在は修正済 - Togetter](https://togetter.com/li/1465392)
- [1 on 1 で 何を話すのか？ マネージャ/ソフトウェアエンジニアの立場から - サンフランシスコではたらくソフトウェアエンジニア - higepon blog](http://higepon.hatenablog.com/entry/20150728/1438080621)
- [マツコ＆有吉　かりそめ天国｜テレビ朝日](https://www.tv-asahi.co.jp/matsuari/)
- [火花を散らすジンギスカンの派閥争い 道民のバトルを描いた漫画に道民から「あるある」 (1/2) - ねとらぼ](https://nlab.itmedia.co.jp/nl/articles/2001/31/news008.html?fbclid=IwAR1o4z_E7bmlozuaUfo-pcoN8FmxmlUihBLnnR3QXLP3QU7OBm_eAlchN6Y)

","cbf4478a-fbdf-4daa-af82-1092fe100878","2020-02-06 23:00:00",25748375,"2145.671837"
20,"2020-02-22","EP20 春一番と食生活、新型コロナウイルス感染症には気をつけましょう回","mktakuya、ふっくん、とっしーの3人で、春一番、BASE FOOD、食宅便、会社と新型コロナウイルス感染症対策などについて話しました。","* [関東地方で「春一番」(日直予報士 2020年02月22日) - 日本気象協会 tenki.jp](https://tenki.jp/forecaster/deskpart/2020/02/22/7510.html)
* [ゆるふわノート｜ゆるふわクラブ｜note](https://note.com/yuru28/m/m8fca91e899b7)
* [完全食 BASE FOOD（ベースフード）](https://basefood.co.jp/)
* [COMP 完全食](http://www.comp.jp/)
* [Huel - 完全栄養食](https://jp.huel.com/)
* [BASE FOOD®継続コース スタートセット｜BASE FOOD – BASE FOOD JP](https://shop.basefood.co.jp/pages/subscription)
* [食宅便 - 日清医療食品](https://shokutakubin.com/shop/default.aspx)

<iframe class=""note-embed"" src=""https://note.com/embed/notes/n052452fbe61a"" style=""border: 0; display: block; max-width: 99%; width: 494px; padding: 0px; margin: 10px 0px; position: static; visibility: visible;"" height=""400""></iframe><script async src=""https://note.com/scripts/embed.js"" charset=""utf-8""></script>

","b8711abf-bc94-4d94-b1c2-ad5c7ce89ee8","2020-02-21 23:00:00",26035826,"2169.626122"
